Tweet ID,Username,Content,Created At,User Location,Country
1083148465981583360,annemariayritys,"Why is deforestation causing climate change and global warming?
https://t.co/nb9jeqOkzU
#climatechange #climateaction https://t.co/vnlJvr5GR1",2019-01-09 23:48:12+00:00,"Tampere, Finland",Finland
1083145512990265346,PippoBavarese,"The first time #climatechange caused an empire to collapse leading to wars, mass migrations and misery, the causes were natural and impact relatively local and limited. With the man-made global climate crisis we won’t be so lucky... https://t.co/wyRipJsvFz https://t.co/Kwy0kRVXFz",2019-01-09 23:36:28+00:00,Berlin,Germany
1083142694543769600,annemariayritys,"Mobilization Of Climate Finance Important To Tackle Climate Change:
https://t.co/EgSxNbIZ99
#climatechange #climateaction https://t.co/3TylTcdgbU",2019-01-09 23:25:16+00:00,"Tampere, Finland",Finland
1083138176368152577,annemariayritys,"Who Protects Arctic Species From Climate Change? Find out here: https://t.co/v6Tpr24a4F
#climatechange #climateaction https://t.co/4v51IuAn3x",2019-01-09 23:07:19+00:00,"Tampere, Finland",Finland
1083137822079574018,unslic3dBr3ad,"@energi_ca @GouletGrant @anthonyfurey That's scary. 

Look at all that forest area lost to insects. Which is from [checks notes] climate change. https://t.co/iDQbXmvOax",2019-01-09 23:05:55+00:00,"Delft, Netherlands.",Netherlands
1083137169731010561,garrettmullan,@fincass @CMacCoille well a law could be brought in to address this but we need apartments in the city. i am in balbriggan we have 2000 houses being built at the moment.ppl need to get real. remember #climatechange too,2019-01-09 23:03:19+00:00,Dublin,Ireland
1083136876469501953,021odeezy,@TunesOnTick sample so hot that it denies climate change,2019-01-09 23:02:09+00:00,Berlin,Germany
1083136137307262980,j_graudins,#blockchain #Bluenote #climatechange #crowdfunding #energyefficiency https://t.co/BdJBm8rRrN,2019-01-09 22:59:13+00:00,"Riga, Latvia",Latvia
1083135616458534912,torstenmandal,"Global warming of oceans equivalent to an atomic bomb per second for the last 150 years!            
Seas absorb 90% of climate change’s energy fueling extreme weather, expanding volume,  (+driving out oxygen and damaging protectiv…https://t.co/YJfVvT1qJm https://t.co/BRbM4rZM2j",2019-01-09 22:57:09+00:00,"Copenhagen, Denmark (+Africa)",Denmark
1083134379138973696,johnjollyrogers,"@FrankLuntz Climate change, artificial intelligence",2019-01-09 22:52:14+00:00,Dublin,Ireland
1083133120625422338,StefanBNilsson,Katharine Hayhoe Talks About Why Climate Change Is Real &amp; Why She Still Has Hope | CleanTechnica https://t.co/Ij7bMEB0AU,2019-01-09 22:47:14+00:00,Stockholm,Sweden
1083131866671124480,annemariayritys,"What is the main cause of climate change?
https://t.co/nb9jeqOkzU
#climatechange #climateaction https://t.co/XnVbiAS9XS",2019-01-09 22:42:15+00:00,"Tampere, Finland",Finland
1083131272036261888,inishfad,"@bobathon @ClimateCentral @irishenviro If you don’t believe that climate change is actually all about politics, ask Christina Figueres, who, again, advises that this is the perfect ‘opportunity’ for redistribution of global wealth and reduction of human populations.  That sounds political to me.",2019-01-09 22:39:53+00:00,Ireland,Ireland
1083131136832880640,osteoporosisNI,"I wish we could stop calling every white liquid 'milk'. Milk comes from the mammary glands of mammals. Drinking squashed up veg and nuts may or may not be good for you, but it's not milk!

BBC News - Climate change: Which are the best vegan milks? https://t.co/GzPiKhYsBV",2019-01-09 22:39:21+00:00,Northern Ireland OWC,Ireland
1083130866564513792,IlonaTaimela,"And then this 😲... unbelievable how the USA administration full of coal and oil interest... but where are the environmentalists? 
#coal #ClimateChange #climateaction @realDonaldTrump @EPA #IPCC @IPCC_CH",2019-01-09 22:38:16+00:00,"Helsinki, Finland",Finland
1083129785528782848,jf_resistance,Climate change: 'Right to repair' gathers force https://t.co/vXdfroJpm3,2019-01-09 22:33:59+00:00,Paris,France
1083128786210697218,lambusted,100 companies responsible for 71% of #climatechange https://t.co/J2ZIvwwD2u,2019-01-09 22:30:00+00:00,"Dublin City, Ireland",Ireland
1083117840926982144,Credalytics,@adoolan34 @IWEA @SEAI_ie @greenparty_ie @1Hildegarde @IrishEnvNet Imagine a situation where we have divested from fossil fuels / hydrocarbons &amp; we get clobbered with freezing temps &amp; snow like they are experiencing in the continent now. The country would come to a frozen standstill &amp; we would be completely without power. #DivestmentInsanity https://t.co/GIX4XAKhgZ,2019-01-09 21:46:31+00:00,Dublin,Ireland
1083127348503941121,annemariayritys,"""Trees are the Earth´s endless effort to speak to the listening heaven"". ~R.Tagore https://t.co/MPVLDEnDkE
#climatechange #climateaction https://t.co/u68OBjoAym",2019-01-09 22:24:18+00:00,"Tampere, Finland",Finland
1083125844095234048,KOSullivanIT,The compelling case for active hope on climate change concentrated on the chances of an outcome...@JoeHumphreys42 talks to Louise Michelle Fitzgerald https://t.co/MrRnfrpeq8 via @IrishTimesCultr,2019-01-09 22:18:19+00:00,Dublin,Ireland
1089311999371153409,RasmusSinnemaa,"In a world so fast paced &amp; increasingly inter-connected, we should stop and reflect for a second. 

Invest in education. Keep healthcare accessible for all. Immigration creates aggregate wealth when implemented correctly. Measure &amp; make concrete steps to fight climate change.",2019-01-26 23:59:53+00:00,"Helsinki, Finland",Finland
1089311845767360513,PaesiTropicali,Interreg-Caraibes ‘Carib-Coast’ climate change project launches in Guadeloupe https://t.co/lVPFGSnGqV di @caribnewsnow #ambiente #clima,2019-01-26 23:59:17+00:00,Italy,Italy
1089309788343861249,garyjbyrnes,Schwarzenegger: Why Trump is 'wrong' on climate change @CNN https://t.co/e0rLrit2ma,2019-01-26 23:51:06+00:00,Ireland,Ireland
1089309053124255744,annemariayritys,"What Is Climate Change Mitigation? Learn more here: https://t.co/y4VqEkQQ1L
#climatechange #climateaction https://t.co/9r4fEoiTvo",2019-01-26 23:48:11+00:00,"Tampere, Finland",Finland
1089306436574867459,411Aphrodite,Both political parties need to step up on climate change! Act now &gt;&gt; https://t.co/werMFxkJBa #auspol,2019-01-26 23:37:47+00:00,"Wingles, France",France
1089305849611407365,edifiedlistener,"The crux.
Capitalism will be the death of us all.
#inequality #WeakenedDemocracies #ClimateChange #NoFreePress",2019-01-26 23:35:27+00:00,"Vienna, Austria",Austria
1088808723236175873,zeitonline,Die 16 Jahre alte Klimaaktivistin Greta #Thunberg ruft beim #wef19 zu sofortigen Maßnahmen gegen den Klimawandel auf. Hier sehen Sie Ausschnitte ihrer Rede. https://t.co/7bMVrk62BA,2019-01-25 14:40:03+00:00,"Berlin und Hamburg, Germany",Germany
1089305247686758400,HerstoryIreland,@GretaThunberg is only 16 years old but quickly becoming a leading advocate in the fight against climate change. Here's to teenage girls across the world who are fearlessly blazing a trail for future generations! #Herstory #WhateverItTakes #wef19,2019-01-26 23:33:04+00:00,"Dublin City, Ireland",Ireland
1089303272953966593,annemariayritys,"Why should every individual be responsible for taking climate action and caring about our environment? https://t.co/xmoWjxiA6F
#climatechange #climateaction https://t.co/k3g9GkLbbK",2019-01-26 23:25:13+00:00,"Tampere, Finland",Finland
1089301974196121602,rte,Do hurricanes feel the effects of climate change? https://t.co/F2d4mCI6ZL via @RTEBrainstorm | @IndianaUniv https://t.co/LV8sfNrdWk,2019-01-26 23:20:03+00:00,Dublin-Cork-Regional & Global,Ireland
1089197441189064704,pablorodas,"Conclusive

""There are 467 different pathways by which human health, water, food, economy, infrastructure &amp; security have already been impacted by climate hazards. Here are 8 major ways that climate change harms our health today and threatens it tomorrow.""
https://t.co/3S6dPGsXh6",2019-01-26 16:24:40+00:00,"Warsaw, Poland",Poland
1089300305790058497,JuPe_EU,"@yota_berlin @Carbongate #Temperature anomalies 1880-2017 by country 🌡. No matter how you visualize it, it looks scary! #climatechange
by a Finnish 🇫🇮 meteorologist

https://t.co/Aybqx42RbC",2019-01-26 23:13:25+00:00,"Helsinki, Suomi",Finland
1089300058023981056,loopdlupien,🙃 what a wonderful setting for awesome convos with current and future collaborators about how our early human ancestors would respond to changes in climate and environment @HSPDPinfo @B2science https://t.co/541ohtjReJ,2019-01-26 23:12:26+00:00,"Aarhus, Denmark",Denmark
1089298750294626304,annemariayritys,"Why planting trees and taking good care of our forests is essential to prevent environmental degradation: https://t.co/MPVLDEnDkE
#climatechange #climateaction https://t.co/ea7ddykKOZ",2019-01-26 23:07:14+00:00,"Tampere, Finland",Finland
1089296927294816256,IPBES,"#CDPAList from @CDP out now, which evaluates corporate actions on environmental issues: https://t.co/n9PUFXfcAs

See if your purchases and favorite brands are funding action on #climatechange #deforestation and #watersecurity #WEF19 #Davos https://t.co/CTxaCabyyp",2019-01-26 23:00:00+00:00,"Bonn, Germany",Germany
1089296603893170178,RagnhildLarsson,"Thanks to all of you who came to the talk with ⁦@RoyScranton⁩ at ⁦@stadsbibliotek⁩ today! In case upp didn’t get a seat, you will soon be able to listen to Roy in ⁦@Klimatpodden⁩! #klimat #klimatkris #apokalyps #climatechange #ClimateCrisis https://t.co/ULIzcckacr",2019-01-26 22:58:43+00:00,"Göteborg, Sweden",Sweden
1089295704273707008,Pauloaep,Climate Change Tipping Point Could Be Coming Sooner than We Think | Columbia Engineering https://t.co/PNfThvTpjw,2019-01-26 22:55:08+00:00,Portugal 🇵🇹,Portugal
1089295242883461121,MRmskskc,@KenanTuncer161 Climate change @UNFCCC,2019-01-26 22:53:18+00:00,"Madrid, Spain",Spain
1089294799063019521,joachimjlayes,School strikes over climate change continue to snowball https://t.co/38vJNpZCsM https://t.co/pbkqnlAi9I,2019-01-26 22:51:32+00:00,Germany,Germany
1089294710550622208,Scoutycat2,"@homemadeguitars @Kathyjoycewrite @sarahkendzior I'd say 2 things scare them most - meaningful action on either taxes / tax havens/ money laundering, and climate change.",2019-01-26 22:51:11+00:00,Germany,Germany
1089294576219607040,SarahDunleavy1,The natural world doing its best to clean up our mess! Poignant commentary on our impact on the planet - humans destroy while most other species live in harmony! #ClimateCrisis #climatechange,2019-01-26 22:50:39+00:00,"Dublin City, Ireland",Ireland
1089292441470058496,annemariayritys,"Why is Climate Mitigation Necessary To Prevent Displacements? Learn more here: https://t.co/nTRMdP8Vnf
#climatechange #climateaction https://t.co/iIA3I7ICAO",2019-01-26 22:42:10+00:00,"Tampere, Finland",Finland
1089291709832482816,Gurb01,"@RobJetten Ohhhhh @RobJetten , wat ben je toch een enorme flikker!!!!! Overdrijf niet zo. Het is allemaal 1 grote #hoax #climatechange rechters moeten zich niet met de overheid bemoeien!!!!!",2019-01-26 22:39:16+00:00,"Rotterdam, The Netherlands",Netherlands
1089291559483387904,JuPe_EU,"@yota_berlin @Carbongate You can see quite clearly yourself:
1. Pic above = global CO2 emissions
2. Pic left = CO2 in the atmosphere
3. Pic right = resulting temperatures

This is not a partisan issue or a matter of belief. Over 97% of the climate scientists agree on human caused climate change.
#AGW https://t.co/2gjjxblHy8",2019-01-26 22:38:40+00:00,"Helsinki, Suomi",Finland
1089290695376916480,milanelloman,"so, in other words, 3 out of 4 Americans doesnt convinced that climate change is real. and thats explain why Trump won the presidency.",2019-01-26 22:35:14+00:00,Milano,Italy
1089290650913304576,lorenzisler,"We must change almost everything in our current societies. The bigger your carbon footprint, the bigger your moral duty. The bigger your platform, the bigger your responsibility. #climatechange #actionspeaks @GretaThunberg⁩ #GretaThunberg tour great https://t.co/Lzcb2biFyc",2019-01-26 22:35:03+00:00,"Malmo, Sweden",Sweden
