Tweet ID,Username,Content,Created At,User Location,Filtered Location
1217958674729259009,DarrenGale_1,"Citing Climate Change, BlackRock Will Start Moving Away from Fossil Fuels https://t.co/1c0KqDwU7L via @NewYorker",2020-01-16 23:55:51+00:00,"Cork, Ireland",Ireland
1217958476762243072,meteomara,#Climate #News: Small change for climate change: Time to increase research funding to save the world https://t.co/xMKfnOXupE,2020-01-16 23:55:04+00:00,"Prenzlauer Berg, Berlin, DE",Germany
1217957683627585538,HazelSmyth2019,"A good overview on climate change. 🤓 BBC News - Our Planet Matters: Climate change explained
https://t.co/8v1FfeLpP5",2020-01-16 23:51:54+00:00,Ireland,Ireland
1217956836638429191,LaylaFiliciotto,"Even some people now refuse to eat fish because of #microplastics or meat for #ClimateChange.
Who said that a #vegan or #vegetarian dish isn't enough? You could serve smoked meat/fish as buffet if you're afraid of people complaining...or simply do a poll!⬇",2020-01-16 23:48:33+00:00,"Amsterdam, The Netherlands",Netherlands
1217956774998880258,Robclements5,BBC News - What is climate change? A really simple guide https://t.co/EEuw28WQUA @handiheat,2020-01-16 23:48:18+00:00,"West Tyrone, Northern Ireland",Ireland
1217955364894838785,Anory12Jack,"@BrexitBin really sad times, wasting time on this when we should be tracking global climate change and our own societies ills",2020-01-16 23:42:42+00:00,France,France
1217954770998251520,SolidarityDW,@DanielWhooley @BOMaoileoin Tackling climate change and battling big polluters and deniers is the important thing. We need a system change not climate change. Green capitalism is still capitalism.,2020-01-16 23:40:20+00:00,Dublin West,Ireland
1217954635018907651,55Sun5,"Pool:
Climate change: Should you give up flying to save the planet? 

https://t.co/PtIVw0EZ6V",2020-01-16 23:39:48+00:00,"Marseille, France",France
1217954606900080640,coding4bees,"4 steps to save the planet!
#ClimateChange  #ClimateCrisis",2020-01-16 23:39:41+00:00,The Netherlands,Netherlands
1217953313968263169,Conlon57,@caulmick Jumping  on the climate change bandwagon to get on the Dail gravy train https://t.co/UDUyP82scM,2020-01-16 23:34:33+00:00,Dublin,Ireland
1217952731438231552,LegalEagleStar,"Watching and enjoying #bbcqt as usual. Love #FionaBruce as feel she’s the ultimate professional. Seems a lovely person.
As regards #ClimateChange
I really am not convinced. Maybe it’s because @EamonRyan @greenparty_ie I find a chancer. #TrevorSargeant I found a decent person.",2020-01-16 23:32:14+00:00,"Dublin, Ireland",Ireland
1217951826319937538,RichaMisri,"Fighting climate change is not easy, but its necessary.",2020-01-16 23:28:38+00:00,Denmark,Denmark
1217951813896491010,ValerieFaudon,". @Microsoft should pledge for “carbon neutrality” rather than “100% renewable”, which seems to exclude nuclear energy . All the more surprising that @BillGates has been a strong supporter of low-carbon nuclear as an efficient solution to fight climate change @satyanadella",2020-01-16 23:28:35+00:00,"Paris, France",France
1217951646929604614,RichaMisri,"Strong focus on sustainability &amp; robots in the annual New Year's theme for Odense, Denmark! Climate minister's comment on technology solving this hard challenge resonates strongly as several parts of our world are already plunged in catastrophic effects of climate change. https://t.co/0m8S1TOjS8",2020-01-16 23:27:55+00:00,Denmark,Denmark
1217951539287011328,alandoakie,@bbcquestiontime Maybe start in the Brick counties ?? We are doing more our fair share #climatechange,2020-01-16 23:27:30+00:00,N.Ireland,Ireland
1217951526959775744,SusanneFerwerda,"ING's fees seem low in comparison to some other banks, but at the cost of what? See, for instance, their climate change and animal welfare policies:
4/6 https://t.co/4uIBFgkUJI",2020-01-16 23:27:27+00:00,The Netherlands,Netherlands
1217950685498613761,JuanyKeville,"EU - The #EU €1-TRILLION '#GreenDeal' to fight #ClimateChange &amp; be #CarbonNeutral by 2050. 🙄

#National #governments will #contribute €100-billion, €300-billion from the #private #sector. €7.5-billion will come from the #EUs 2021-2027 #budget.

This will cripple #nations. 🇪🇺",2020-01-16 23:24:06+00:00,"Dun Laoghaire, Ireland",Ireland
1217950622869143552,misullivan,"Couldn’t have said it better myself...

... seriously couldn’t have even said it so well, I don’t speak as nearly as eloquently...

#ClimateChange #SirDavidAttenborough",2020-01-16 23:23:51+00:00,"Australia, Malta, and the UK!",Malta
1217819299546529794,Planetary_Sec,"🌍 

“That’s the paradoxical thing, that we are refusing to take steps that we know have to be taken”. 

Sir David Attenborough, interviewed by @BBCWorld 

🐨 🌳 🦅 

#ClimateChange #ClimateEmergency #nature #biodiversity #environment 

https://t.co/9yJqgUOAGL",2020-01-16 14:42:01+00:00,"Burgh-Haamstede, Netherlands",Netherlands
1217949912173883392,HannaSelim,Pitching our app and climate change campaign in collaboration with Green Kayak for our Persuasive Content elective. Achieved a 12! Thank you to Green Kayak Co-Founders Oke and Tobias for the Collab &amp; feedback! #contentcreation #persuasivedesign #digitalmarketing #appdevelopment https://t.co/vc3PsfwSQ4,2020-01-16 23:21:02+00:00,"Capital Region, Denmark",Denmark
1217948501369331712,eoin_oriordan,"I just signed this petition, will you join me?  https://t.co/PuDz52WsTZ via @UpliftIRL
# Irishelection #ClimateChange",2020-01-16 23:15:25+00:00,Cork,Ireland
1217948442837897217,DCorso123,"@KSulza @ed_hawkins You're the propaganda victim. Even if you deny anthropogenic climate change, the data on average temperature changes are accurate and can be verified from other sources.",2020-01-16 23:15:11+00:00,"Berlin, Germany",Germany
1217948289728991233,ashQzack,The farmers have been doing their bit to mitigate the effects of climate change. They pedestrianised Dublin City for two days.,2020-01-16 23:14:35+00:00,"Dublin, Ireland",Ireland
1217947936224501760,Zwickyhumason1,@theage 2020 Is said to be the time of no return. To all climate change deniers.. hug your children then explain why you have failed.,2020-01-16 23:13:11+00:00,"Zwettl-Lower Austria, Austria",Austria
1217947850023297027,DanielWhooley,"@SolidarityDW And I may be wrong but isn’t Solidarity and PBP under one banner, after all both logos are on your posters?

I believe that people are realising how big of an issue climate change is but if Ruth is going to have the PBP logo on her posters it does look like she is endorsing them?",2020-01-16 23:12:50+00:00,"Ongar, Dublin",Ireland
1217947086441910273,dixie1916,"@BelfastLive @SDLPlive @SeamasBelfast He’ll be looking for the horse and cart back for everyone, these climate change nutters want no cars, no planes, no boats, no farming and all of us to be vegans 😂",2020-01-16 23:09:48+00:00,Ireland,Ireland
1217946747659485185,mullallyshane2,"@TonightVMTV @CllrDuncanSmith @LorrCliff @Damien_English @cathmartingreen @Martin_Kenny Farmers jobs are on the line and climate change is going to cause problems,rural Ireland is ignored.",2020-01-16 23:08:27+00:00,"Galway, Ireland",Ireland
1217946637907169280,CZacharopoulou,Échange constructif avec du groupe #ACP pour l'accord #postCotonou. Un partenariat   ambitieux entre #EU &amp; pays #ACP est essentiel pour relever nos défis communs! 🌍🇪🇺 #Afrique #ClimateChange #YOUTH @EP_Development @PressACP @europeaid @tomastobe https://t.co/lIvgNs1eMs,2020-01-16 23:08:01+00:00,France,France
1217946109349449728,Maxloyal,"35 years of climate change in 125 seconds
 https://t.co/x2xeZh6zRx via @YouTube",2020-01-16 23:05:55+00:00,Sweden,Sweden
1216147180072964098,V_omnia_V,"https://t.co/l2cvs1IWs4 #climat ""#climatechange"" #ClimateChangeHoax #folie #demence #Paris #France #geoingenierie #ciel #soleil",2020-01-11 23:57:37+00:00,"Lons le Saunier, France",France
1216146487316566016,gkalarritis,"The solution to climate change will be technological or there will be no solution at all, writes philosophy of science professor, Maarten Boudry. https://t.co/URg9vkbBIh",2020-01-11 23:54:52+00:00,"Athens, Greece",Greece
1216146053159968775,marco_esg,"World's largest asset manager @blackrock recognizes impacts of climate change &amp; joins investor group seeking GHG emission curbs. OK news for the #ESGinvesting world, but let's wait for concrete actions taken. https://t.co/TrCQya4MUe
#sustainability #circulareconomy #climatechange",2020-01-11 23:53:08+00:00,Italy & China,Italy
1216145798578176000,WiebeWkkr,"Is there no freedom of press in Australia? It strikes me that I haven't heard a single journalist ask Morrison decent questions re climate change and Gov's policy. They all offer the PM a photo op to spread his PR lies. 

Are Aussie journo's refused to ask questions?",2020-01-11 23:52:07+00:00,"Haarlem, Netherlands",Netherlands
1216145438438457345,ufoandromeda,"Right now in Germany ... was clean abd beautiful.... and they start to spray... its sick and those who doing fake ""climate change"" are sick.... https://t.co/P6XvPCvVq0",2020-01-11 23:50:42+00:00,Croatia,Croatia
1216145355680686082,ChabbiAbad,"Dear colleagues, 
The deadline of abstract submission for @EGU_BioGeo  is 15 January 2020 – I invite you to submit relevant abstracts as soon as possible to the session BG3.24 #soil #carbon linked to global change Co-organized by SSS5.   #ClimateChange #drought #flooding",2020-01-11 23:50:22+00:00,"Ile-de-France, France",France
